"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",71.645454%,71.645454%,71.645454%
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",6.589945,6.589945,6.589945
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",42.798823%,42.798823%,42.798823%
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",8.194440%,8.194440%,8.194440%
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",17.375944%,17.375944%,17.375944%
"GeForce GTX 1080 Ti (0)","ethash_search2_blake2b_gpu_hash_0(Search_results volatile *, unsigned long, unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.407072,0.407072,0.407072
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"issue_slot_utilization","Issue Slot Utilization",11.675566%,11.675566%,11.675566%
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.817659,0.817659,0.817659
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.597363%,0.597363%,0.597363%
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",2.392453%,2.392453%,2.392453%
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",94.770253%,94.770253%,94.770253%
"GeForce GTX 1080 Ti (0)","ethash_search(Search_results volatile *, unsigned long)",1,"achieved_occupancy","Achieved Occupancy",0.489667,0.489667,0.489667
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",89.374228%,89.374228%,89.374228%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",11.303545,11.303545,11.303545
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",35.201172%,35.201172%,35.201172%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",6.274668%,6.274668%,6.274668%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.533995%,1.533995%,1.533995%
"GeForce GTX 1080 Ti (0)","foo::blake2b_gpu_hash(unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.483855,0.483855,0.483855
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"issue_slot_utilization","Issue Slot Utilization",39.475798%,39.475798%,39.475798%
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",3.275283,3.275283,3.275283
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",31.680337%,31.680337%,31.680337%
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",5.274519%,5.274519%,5.274519%
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",44.640220%,44.640220%,44.640220%
"GeForce GTX 1080 Ti (0)","sha256d_gpu_hash_shared_ethash_search3_100(unsigned int, unsigned int, unsigned int*, Search_results volatile *, unsigned long)",1,"achieved_occupancy","Achieved Occupancy",0.486666,0.486666,0.486666
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"issue_slot_utilization","Issue Slot Utilization",11.657285%,11.657285%,11.657285%
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.817668,0.817668,0.817668
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.606255%,0.606255%,0.606255%
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",2.405441%,2.405441%,2.405441%
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",94.730746%,94.730746%,94.730746%
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"achieved_occupancy","Achieved Occupancy",0.490053,0.490053,0.490053
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"issue_slot_utilization","Issue Slot Utilization",66.222784%,66.222784%,66.222784%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",7.816731,7.816731,7.816731
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",36.924590%,36.924590%,36.924590%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",7.968662%,7.968662%,7.968662%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.056284%,1.056284%,1.056284%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared(unsigned int, unsigned int, unsigned int*)",1,"achieved_occupancy","Achieved Occupancy",0.482185,0.482185,0.482185
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_100(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"issue_slot_utilization","Issue Slot Utilization",71.761702%,71.761702%,71.761702%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_100(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",7.522500,7.522500,7.522500
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_100(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",43.256704%,43.256704%,43.256704%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_100(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",6.350342%,6.350342%,6.350342%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_100(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",15.035467%,15.035467%,15.035467%
"GeForce GTX 1080 Ti (0)","sia_blake2b_gpu_hash_ethash_search4_100(unsigned int, unsigned int, unsigned int*, uint2, Search_results volatile *, unsigned long)",1,"achieved_occupancy","Achieved Occupancy",0.485939,0.485939,0.485939
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00004104_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_0(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",75.824682%,75.824682%,75.824682%
