"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",6.002759%,6.002759%,6.002759%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",0.693638%,0.693638%,0.693638%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__59_tmpxft_00003c05_00000000_15_blake_sha256_compute_75_cpp1_ii_f2a120ba::blake2b_gpu_hash_sha256d_gpu_hash_shared_0(unsigned int, unsigned int, unsigned int*, uint2, unsigned int, unsigned int, unsigned int*)",1,"achieved_occupancy","Achieved Occupancy",0.209494,0.209494,0.209494
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_100(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"issue_slot_utilization","Issue Slot Utilization",49.297370%,49.297370%,49.297370%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_100(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",3.498703,3.498703,3.498703
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_100(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",66.783231%,66.783231%,66.783231%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_100(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",6.553535%,6.553535%,6.553535%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_100(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",1.378302%,1.378302%,1.378302%
"GeForce GTX 1080 Ti (0)","_GLOBAL__N__57_tmpxft_00003c11_00000000_15_sha256_sia_compute_75_cpp1_ii_760fc11c::sha256d_gpu_hash_shared_sia_blake2b_gpu_hash_100(unsigned int, unsigned int, unsigned int*, unsigned int, unsigned int, unsigned int*, uint2)",1,"achieved_occupancy","Achieved Occupancy",0.249403,0.249403,0.249403
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"issue_slot_utilization","Issue Slot Utilization",11.024109%,11.024109%,11.024109%
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"eligible_warps_per_cycle","Eligible Warps Per Active Cycle",0.615033,0.615033,0.615033
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"stall_inst_fetch","Issue Stall Reasons (Instructions Fetch)",0.378256%,0.378256%,0.378256%
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"stall_exec_dependency","Issue Stall Reasons (Execution Dependency)",2.266222%,2.266222%,2.266222%
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"stall_memory_dependency","Issue Stall Reasons (Data Request)",96.073127%,96.073127%,96.073127%
"GeForce GTX 1080 Ti (0)","ethash_search3(Search_results volatile *, unsigned long)",1,"achieved_occupancy","Achieved Occupancy",0.367211,0.367211,0.367211
